code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
ZRBT16,المقاطعة الحضرية الرابعة عشرة,4,منطقة,RAB4,ara,true,superadmin,now()
ZKNT14,(باشاوية)سوق أربعاء الغرب/(ملحقة إدارية)الأولى,4,منطقة,KNT6,ara,true,superadmin,now()
ZKNT11,(باشاوية)القنيطرة/(دائرة حضرية)الساكنية,4,منطقة,KNT4,ara,true,superadmin,now()
ZKNT10,(باشاوية)القنيطرة/(دائرة حضرية)معمورة,4,منطقة,KNT4,ara,true,superadmin,now()
ZKNT9,(باشاوية)القنيطرة/(دائرة حضرية)الدائرة الحضريةعصام,4,منطقة,KNT4,ara,true,superadmin,now()
ZKNT8,(باشاوية)القنيطرة/(دائرة حضرية)الدائرة الحضرية ولاد وجيه,4,منطقة,KNT4,ara,true,superadmin,now()
ZKNT17,(باشاوية)سوق أربعاء الغرب/(ملحقة إدارية)الرابعة,4,منطقة,KNT6,ara,true,superadmin,now()
ZKNT3,(دائرة)دائرة سوق أربعاء الغرب/(قيادة)قرية بنعودة,4,منطقة,KNT2,ara,true,superadmin,now()
ZKNT16,(باشاوية)سوق أربعاء الغرب/(ملحقة إدارية)الثالثة,4,منطقة,KNT6,ara,true,superadmin,now()
ZKNT7,(دائرة)دائرة سوق ثلاثاء الغرب/(قيادة)بحارة اولاد عياد,4,منطقة,KNT3,ara,true,superadmin,now()
ZKNT6,(دائرة)دائرة سوق ثلاثاء الغرب/(قيادة)سيدي علال التازي,4,منطقة,KNT3,ara,true,superadmin,now()
ZKNT5,(دائرة)دائرة سوق ثلاثاء الغرب/(قيادة)سيدي محمد لحمر,4,منطقة,KNT3,ara,true,superadmin,now()
ZRBT1,المقاطعة الحضرية العاشرة,4,منطقة,RAB,ara,true,superadmin,now()
ZRBT4,المقاطعة الحضرية الثالثة عشرة,4,منطقة,RAB,ara,true,superadmin,now()
ZRBT5,المقاطعة الحضرية الاولى,4,منطقة,RAB2,ara,true,superadmin,now()
ZKNT,(دائرة)دائرة أحواز القنيطرة/(قيادة)عامر السفلية,4,منطقة,KNT,ara,true,superadmin,now()
ZRBT10,المقاطعة الحضرية الخامسة,4,منطقة,RAB3,ara,true,superadmin,now()
ZRBT6,المقاطعة الحضرية الثانية,4,منطقة,RAB2,ara,true,superadmin,now()
ZRBT7,المقاطعة الحضرية الثالثة,4,منطقة,RAB2,ara,true,superadmin,now()
ZRBT8,المقاطعة الحضرية الرابعة,4,منطقة,RAB2,ara,true,superadmin,now()
ZRBT12,المقاطعة الحضرية السابعة,4,منطقة,RAB3,ara,true,superadmin,now()
ZRBT13,المقاطعة الحضرية الثامنة,4,منطقة,RAB3,ara,true,superadmin,now()
ZRBT14,المقاطعة الحضرية التاسعة,4,منطقة,RAB3,ara,true,superadmin,now()
ZKNT1,(دائرة)دائرة أحواز القنيطرة/(قيادة)أحواز القنيطرة,4,منطقة,KNT,ara,true,superadmin,now()
ZKNT4,(دائرة)دائرة سوق ثلاثاء الغرب/(قيادة)سوق ثلاثاء الغرب,4,منطقة,KNT3,ara,true,superadmin,now()
ZRBT2,المقاطعة الحضرية الحادية عشرة,4,منطقة,RAB,ara,true,superadmin,now()
ZRBT3,المقاطعة الحضريةالثانية عشرة,4,منطقة,RAB,ara,true,superadmin,now()
ZRBT21,"19 EME ARRONDISSEMENT",4,Zone,RAB6,eng,true,superadmin,now()
ZRBT18,"16 EME ARRONDISSEMENT",4,Zone,RAB4,eng,true,superadmin,now()
ZRBT17,"15 EME ARRONDISSEMENT",4,Zone,RAB4,eng,true,superadmin,now()
ZRBT16,"14 EME ARRONDISSEMENT",4,Zone,RAB4,eng,true,superadmin,now()
ZRBT15,"23 EME ARRONDISSEMENT",4,Zone,RAB3,eng,true,superadmin,now()
ZKNT14,(Pachalik)SOUK EL ARBAA DU GHARB/(Annexes administratives)1,4,Zone,KNT6,eng,true,superadmin,now()
ZRBT14,"9 EME ARRONDISSEMENT",4,Zone,RAB3,eng,true,superadmin,now()
ZRBT13,"8 EME ARRONDISSEMENT",4,Zone,RAB3,eng,true,superadmin,now()
ZKNT15,(Pachalik)SOUK EL ARBAA DU GHARB/(Annexes administratives)2,4,Zone,KNT6,eng,true,superadmin,now()
ZRBT12,"7 EME ARRONDISSEMENT",4,Zone,RAB3,eng,true,superadmin,now()
ZRBT8,"4 EME ARRONDISSEMENT",4,Zone,RAB2,eng,true,superadmin,now()
ZKNT16,(Pachalik)SOUK EL ARBAA DU GHARB/(Annexes administratives)3,4,Zone,KNT6,eng,true,superadmin,now()
ZRBT3,"12EME ARRONDISSEMENT",4,Zone,RAB,eng,true,superadmin,now()
ZRBT2,"11EME ARRONDISSEMENT",4,Zone,RAB,eng,true,superadmin,now()
ZKNT3,(Cercle)SOUK ARBAA-EL GHARB/(Caidat)KARIAT BEN AOUDA,4,Zone,KNT2,eng,true,superadmin,now()
ZRBT10,"5 EME ARRONDISSEMENT",4,Zone,RAB3,eng,true,superadmin,now()
ZKNT1,(Cercle)KENITRA-BANLIEUE/(Caidat)KENITRA BANLIEUE,4,Zone,KNT,eng,true,superadmin,now()
ZRBT24,TOUARGA,4,Zone,RAB5,eng,true,superadmin,now()
ZRBT9,"22 EME ARRONDISSEMENT",4,Zone,RAB2,eng,true,superadmin,now()
ZRBT4,"13EME ARRONDISSEMENT",4,Zone,RAB,eng,true,superadmin,now()
ZRBT11,"6 EME ARRONDISSEMENT",4,Zone,RAB3,eng,true,superadmin,now()
ZKNT6,(Cercle)SOUK TLET EL GHARB/(Caidat)SIDI ALLAL TAZI,4,Zone,KNT3,eng,true,superadmin,now()
ZKNT5,(Cercle)SOUK TLET EL GHARB/(Caidat)SIDI MOHAMED LAHMER,4,Zone,KNT3,eng,true,superadmin,now()
ZKNT7,(Cercle)SOUK TLET EL GHARB/(Caidat)BHARA OULED AYAD,4,Zone,KNT3,eng,true,superadmin,now()
ZKNT11,(Pachalik)KENITRA/(District)saknia,4,Zone,KNT4,eng,true,superadmin,now()
ZKNT17,(Pachalik)SOUK EL ARBAA DU GHARB/(Annexes administratives)4,4,Zone,KNT6,eng,true,superadmin,now()
ZKNT10,(Pachalik)KENITRA/(District)MAAMORA,4,Zone,KNT4,eng,true,superadmin,now()
ZKNT9,(Pachalik)KENITRA/(District)DISTRICT ASSAM,4,Zone,KNT4,eng,true,superadmin,now()
ZKNT4,(Cercle)SOUK TLET EL GHARB/(Caidat)SOUK TLET GHARB,4,Zone,KNT3,eng,true,superadmin,now()
ZKNT8,(Pachalik)KENITRA/(District)District Ouled Oujih,4,Zone,KNT4,eng,true,superadmin,now()
ZRBT6,"2ER ARRONDISSEMENT",4,Zone,RAB2,eng,true,superadmin,now()
ZKNT2,(Cercle)SOUK ARBAA-EL GHARB/(Caidat)ARBAOUA,4,Zone,KNT2,eng,true,superadmin,now()
ZRBT7,"3ER ARRONDISSEMENT",4,Zone,RAB2,eng,true,superadmin,now()
ZRBT5,"1ER ARRONDISSEMENT",4,Zone,RAB2,eng,true,superadmin,now()
ZRBT1,"10EME ARRONDISSEMENT",4,Zone,RAB,eng,true,superadmin,now()
ZKNT12,(Pachalik)MEHDYA/(Annexes administratives)Kasbah Mehdya,4,Zone,KNT5,eng,true,superadmin,now()
ZKNT13,(Pachalik)MEHDYA/(Annexes administratives)MEHDIA PLAGE,4,Zone,KNT5,eng,true,superadmin,now()
ZRBT19,"17 EME ARRONDISSEMENT",4,Zone,RAB4,eng,true,superadmin,now()
ZKNT,(Cercle)KENITRA-BANLIEUE/(Caidat)AMEUR SEFLIA,4,Zone,KNT,eng,true,superadmin,now()
ZRBT20,"18 EME ARRONDISSEMENT",4,Zone,RAB4,eng,true,superadmin,now()
ZRBT23,"21 EME ARRONDISSEMENT",4,Zone,RAB6,eng,true,superadmin,now()
ZRBT22,"20 EME ARRONDISSEMENT",4,Zone,RAB6,eng,true,superadmin,now()
ZKNT17,(Pachalik)SOUK EL ARBAA DU GHARB/(Annexes administratives)4,4,Zone,KNT6,fra,true,superadmin,now()
ZRBT16,"14 EME ARRONDISSEMENT",4,Zone,RAB4,fra,true,superadmin,now()
ZRBT24,TOUARGA,4,Zone,RAB5,fra,true,superadmin,now()
ZKNT,(Cercle)KENITRA-BANLIEUE/(Caidat)AMEUR SEFLIA,4,Zone,KNT,fra,true,superadmin,now()
ZKNT1,(Cercle)KENITRA-BANLIEUE/(Caidat)KENITRA BANLIEUE,4,Zone,KNT,fra,true,superadmin,now()
ZKNT2,(Cercle)SOUK ARBAA-EL GHARB/(Caidat)ARBAOUA,4,Zone,KNT2,fra,true,superadmin,now()
ZKNT3,(Cercle)SOUK ARBAA-EL GHARB/(Caidat)KARIAT BEN AOUDA,4,Zone,KNT2,fra,true,superadmin,now()
ZKNT4,(Cercle)SOUK TLET EL GHARB/(Caidat)SOUK TLET GHARB,4,Zone,KNT3,fra,true,superadmin,now()
ZKNT5,(Cercle)SOUK TLET EL GHARB/(Caidat)SIDI MOHAMED LAHMER,4,Zone,KNT3,fra,true,superadmin,now()
ZKNT6,(Cercle)SOUK TLET EL GHARB/(Caidat)SIDI ALLAL TAZI,4,Zone,KNT3,fra,true,superadmin,now()
ZKNT7,(Cercle)SOUK TLET EL GHARB/(Caidat)BHARA OULED AYAD,4,Zone,KNT3,fra,true,superadmin,now()
ZKNT16,(Pachalik)SOUK EL ARBAA DU GHARB/(Annexes administratives)3,4,Zone,KNT6,fra,true,superadmin,now()
ZKNT15,(Pachalik)SOUK EL ARBAA DU GHARB/(Annexes administratives)2,4,Zone,KNT6,fra,true,superadmin,now()
ZKNT14,(Pachalik)SOUK EL ARBAA DU GHARB/(Annexes administratives)1,4,Zone,KNT6,fra,true,superadmin,now()
ZKNT12,(Pachalik)MEHDYA/(Annexes administratives)Kasbah Mehdya,4,Zone,KNT5,fra,true,superadmin,now()
ZKNT13,(Pachalik)MEHDYA/(Annexes administratives)MEHDIA PLAGE,4,Zone,KNT5,fra,true,superadmin,now()
ZKNT11,(Pachalik)KENITRA/(District)saknia,4,Zone,KNT4,fra,true,superadmin,now()
ZKNT10,(Pachalik)KENITRA/(District)MAAMORA,4,Zone,KNT4,fra,true,superadmin,now()
ZKNT9,(Pachalik)KENITRA/(District)DISTRICT ASSAM,4,Zone,KNT4,fra,true,superadmin,now()
ZKNT8,(Pachalik)KENITRA/(District)District Ouled Oujih,4,Zone,KNT4,fra,true,superadmin,now()
ZRBT5,"1ER ARRONDISSEMENT",4,Zone,RAB2,fra,true,superadmin,now()
ZRBT6,"2ER ARRONDISSEMENT",4,Zone,RAB2,fra,true,superadmin,now()
ZRBT7,"3ER ARRONDISSEMENT",4,Zone,RAB2,fra,true,superadmin,now()
ZRBT8,"4 EME ARRONDISSEMENT",4,Zone,RAB2,fra,true,superadmin,now()
ZRBT10,"5 EME ARRONDISSEMENT",4,Zone,RAB3,fra,true,superadmin,now()
ZRBT1,"10EME ARRONDISSEMENT",4,Zone,RAB,fra,true,superadmin,now()
ZRBT2,"11EME ARRONDISSEMENT",4,Zone,RAB,fra,true,superadmin,now()
ZRBT3,"12EME ARRONDISSEMENT",4,Zone,RAB,fra,true,superadmin,now()
ZRBT4,"13EME ARRONDISSEMENT",4,Zone,RAB,fra,true,superadmin,now()
ZRBT9,"22 EME ARRONDISSEMENT",4,Zone,RAB2,fra,true,superadmin,now()
ZRBT11,"6 EME ARRONDISSEMENT",4,Zone,RAB3,fra,true,superadmin,now()
ZRBT12,"7 EME ARRONDISSEMENT",4,Zone,RAB3,fra,true,superadmin,now()
ZRBT13,"8 EME ARRONDISSEMENT",4,Zone,RAB3,fra,true,superadmin,now()
ZRBT14,"9 EME ARRONDISSEMENT",4,Zone,RAB3,fra,true,superadmin,now()
ZRBT15,"23 EME ARRONDISSEMENT",4,Zone,RAB3,fra,true,superadmin,now()
ZRBT23,"21 EME ARRONDISSEMENT",4,Zone,RAB6,fra,true,superadmin,now()
ZRBT21,"19 EME ARRONDISSEMENT",4,Zone,RAB6,fra,true,superadmin,now()
ZRBT22,"20 EME ARRONDISSEMENT",4,Zone,RAB6,fra,true,superadmin,now()
ZRBT20,"18 EME ARRONDISSEMENT",4,Zone,RAB4,fra,true,superadmin,now()
ZRBT19,"17 EME ARRONDISSEMENT",4,Zone,RAB4,fra,true,superadmin,now()
ZRBT18,"16 EME ARRONDISSEMENT",4,Zone,RAB4,fra,true,superadmin,now()
ZRBT17,"15 EME ARRONDISSEMENT",4,Zone,RAB4,fra,true,superadmin,now()
"17027","17027",5,الرمز البريدي,ZKNT12,ara,true,superadmin,now()
"10105","10105",5,الرمز البريدي,ZRBT4,ara,true,superadmin,now()
"10106","10106",5,الرمز البريدي,ZRBT5,ara,true,superadmin,now()
"14000","14000",5,الرمز البريدي,ZRBT12,ara,true,superadmin,now()
"14022","14022",5,الرمز البريدي,ZRBT13,ara,true,superadmin,now()
"14023","14023",5,الرمز البريدي,ZRBT14,ara,true,superadmin,now()
"14025","14025",5,الرمز البريدي,ZRBT15,ara,true,superadmin,now()
"14050","14050",5,الرمز البريدي,ZRBT16,ara,true,superadmin,now()
"14053","14053",5,الرمز البريدي,ZRBT17,ara,true,superadmin,now()
"14080","14080",5,الرمز البريدي,ZRBT18,ara,true,superadmin,now()
"14110","14110",5,الرمز البريدي,ZRBT19,ara,true,superadmin,now()
"10036","10036",5,الرمز البريدي,ZRBT2,ara,true,superadmin,now()
"10104","10104",5,الرمز البريدي,ZRBT3,ara,true,superadmin,now()
"10110","10110",5,الرمز البريدي,ZRBT6,ara,true,superadmin,now()
"10111","10111",5,الرمز البريدي,ZRBT7,ara,true,superadmin,now()
"10112","10112",5,الرمز البريدي,ZRBT8,ara,true,superadmin,now()
"10113","10113",5,الرمز البريدي,ZRBT9,ara,true,superadmin,now()
"10114","10114",5,الرمز البريدي,ZRBT10,ara,true,superadmin,now()
"10190","10190",5,الرمز البريدي,ZRBT11,ara,true,superadmin,now()
"14115","14115",5,الرمز البريدي,ZRBT24,ara,true,superadmin,now()
"14111","14110",5,الرمز البريدي,ZRBT20,ara,true,superadmin,now()
