code,name,lang_code,is_active,cr_by,cr_dtimes
FLE,أنثى,ara,true,superadmin,now()
FLE,Femme,eng,true,superadmin,now()
FLE,Femme,fra,true,superadmin,now()
MLE,ذكر,ara,true,superadmin,now()
MLE,Homme,eng,true,superadmin,now()
MLE,Homme,fra,true,superadmin,now()
