code,name,descr,lang_code,is_active,cr_by,cr_dtimes
REG,منتظم,مركز التسجيل العادي,ara,true,superadmin,now()
REG,Regular,Regular Registration Center,eng,true,superadmin,now()
REG,Ordinaire,Centre dinscription régulière,fra,true,superadmin,now()
REG-AVRDV,Avec RDV,Centre dinscription Avec RDV,ara,true,superadmin,now()
REG-AVRDV,Avec RDV,Centre dinscription Avec RDV,eng,true,superadmin,now()
REG-AVRDV,Avec RDV,Centre dinscription Avec RDV,fra,true,superadmin,now()
